Datafile FullScanSumBP FullScanMaxBP ZoomScanSumBP ZoomScanMaxBP SumTIC MaxTIC
040.152.152.1.dta 609637 609637 0 0 200588 200588
040.154.154.1.dta 1063560 1063560 0 0 2558480 2558480
040.155.155.1.dta 1019627 1019627 0 0 764580 764580
040.156.156.1.dta 807099 807099 0 0 152126 152126
040.158.158.1.dta 881041 881041 0 0 1102879 1102879
040.162.162.2.dta 833124 833124 0 0 642135 642135
040.162.162.3.dta 833124 833124 0 0 642135 642135
040.163.163.1.dta 753284 753284 0 0 921201 921201
040.164.164.1.dta 713933 713933 0 0 2650325 2650325
040.166.166.1.dta 986045 986045 0 0 845101 845101
040.167.167.1.dta 884859 884859 0 0 7623076 7623076
040.168.168.2.dta 858368 858368 0 0 469204 469204
040.168.168.3.dta 858368 858368 0 0 469204 469204
040.170.170.1.dta 913788 913788 0 0 820019 820019
040.172.172.1.dta 643608 643608 0 0 1064209 1064209
040.174.174.2.dta 970197 970197 0 0 590526 590526
040.174.174.3.dta 970197 970197 0 0 590526 590526
040.176.176.2.dta 835377 835377 0 0 668107 668107
040.176.176.3.dta 835377 835377 0 0 668107 668107
040.179.179.2.dta 656221 656221 0 0 76533 76533
040.179.179.3.dta 656221 656221 0 0 76533 76533
040.180.180.1.dta 646425 646425 0 0 8226336 8226336
040.182.182.2.dta 863344 863344 0 0 1285750 1285750
040.182.182.3.dta 863344 863344 0 0 1285750 1285750
040.183.183.2.dta 855401 855401 0 0 863895 863895
040.183.183.3.dta 855401 855401 0 0 863895 863895
040.184.186.1.dta 1843615 1001364 0 0 1229990 618559
040.187.187.2.dta 785403 785403 0 0 503483 503483
040.187.187.3.dta 785403 785403 0 0 503483 503483
040.188.188.1.dta 771966 771966 0 0 93313 93313
040.190.190.1.dta 740676 740676 0 0 1036527 1036527
040.191.191.1.dta 726683 726683 0 0 899442 899442
040.192.192.1.dta 712513 712513 0 0 209513 209513
040.194.194.1.dta 720374 720374 0 0 1183328 1183328
040.195.195.1.dta 589739 589739 0 0 689790 689790
040.196.196.2.dta 558231 558231 0 0 1183815 1183815
040.196.196.3.dta 558231 558231 0 0 1183815 1183815
040.198.198.1.dta 870855 870855 0 0 181184 181184
040.199.199.1.dta 818291 818291 0 0 190496 190496
040.200.200.1.dta 676056 676056 0 0 1132549 1132549
040.202.202.2.dta 880232 880232 0 0 729916 729916
040.202.202.3.dta 880232 880232 0 0 729916 729916
040.203.203.2.dta 773700 773700 0 0 1162912 1162912
040.203.203.3.dta 773700 773700 0 0 1162912 1162912
040.204.204.1.dta 667705 667705 0 0 1146475 1146475
040.206.206.2.dta 689345 689345 0 0 512471 512471
040.206.206.3.dta 689345 689345 0 0 512471 512471
040.207.207.1.dta 602265 602265 0 0 1081285 1081285
040.208.208.1.dta 552798 552798 0 0 804435 804435
040.210.210.1.dta 721508 721508 0 0 260996 260996
040.211.211.1.dta 655765 655765 0 0 104900 104900
040.212.212.1.dta 621630 621630 0 0 683227 683227
040.214.214.2.dta 607226 607226 0 0 562167 562167
040.214.214.3.dta 607226 607226 0 0 562167 562167
040.215.215.1.dta 606139 606139 0 0 890605 890605
040.216.216.2.dta 599170 599170 0 0 605864 605864
040.216.216.3.dta 599170 599170 0 0 605864 605864
040.219.219.2.dta 569901 569901 0 0 1995471 1995471
040.219.219.3.dta 569901 569901 0 0 1995471 1995471
040.220.220.1.dta 440596 440596 0 0 159175 159175
040.222.222.2.dta 895002 895002 0 0 2326615 2326615
040.222.222.3.dta 895002 895002 0 0 2326615 2326615
040.223.223.1.dta 841490 841490 0 0 543484 543484
040.224.224.1.dta 781165 781165 0 0 587347 587347
040.226.226.2.dta 676008 676008 0 0 386524 386524
040.226.226.3.dta 676008 676008 0 0 386524 386524
040.227.227.1.dta 675600 675600 0 0 99541 99541
040.228.230.1.dta 1531035 881613 0 0 1764309 932438
040.231.231.2.dta 832877 832877 0 0 1002613 1002613
040.231.231.3.dta 832877 832877 0 0 1002613 1002613
040.232.232.2.dta 774370 774370 0 0 1477650 1477650
040.232.232.3.dta 774370 774370 0 0 1477650 1477650
040.234.234.2.dta 703423 703423 0 0 662796 662796
040.234.234.3.dta 703423 703423 0 0 662796 662796
040.235.235.1.dta 631158 631158 0 0 853621 853621
040.236.236.2.dta 624099 624099 0 0 1074621 1074621
040.236.236.3.dta 624099 624099 0 0 1074621 1074621
040.238.238.1.dta 717229 717229 0 0 72181 72181
040.239.239.2.dta 710149 710149 0 0 98360 98360
040.239.239.3.dta 710149 710149 0 0 98360 98360
040.240.240.2.dta 676070 676070 0 0 111641 111641
040.240.240.3.dta 676070 676070 0 0 111641 111641
040.243.243.1.dta 759002 759002 0 0 1513971 1513971
040.244.244.1.dta 745456 745456 0 0 168971 168971
040.246.246.2.dta 1029367 1029367 0 0 871529 871529
040.246.246.3.dta 1029367 1029367 0 0 871529 871529
040.247.247.2.dta 1005897 1005897 0 0 830674 830674
040.247.247.3.dta 1005897 1005897 0 0 830674 830674
040.248.248.2.dta 851357 851357 0 0 430851 430851
040.248.248.3.dta 851357 851357 0 0 430851 430851
040.250.250.1.dta 3426704 3426704 0 0 8193621 8193621
040.251.251.1.dta 1476902 1476902 0 0 171276 171276
040.252.252.2.dta 1254654 1254654 0 0 93340 93340
040.252.252.3.dta 1254654 1254654 0 0 93340 93340
040.254.254.1.dta 6877234 6877234 0 0 9854748 9854748
040.255.255.1.dta 830944 830944 0 0 252096 252096
040.256.256.2.dta 677142 677142 0 0 1518720 1518720
040.256.256.3.dta 677142 677142 0 0 1518720 1518720
040.258.258.1.dta 1635446 1635446 0 0 2243270 2243270
040.259.259.1.dta 1429467 1429467 0 0 1929435 1929435
040.260.260.2.dta 1058806 1058806 0 0 1111185 1111185
040.260.260.3.dta 1058806 1058806 0 0 1111185 1111185
040.262.262.1.dta 1280838 1280838 0 0 1236525 1236525
040.263.263.1.dta 1147251 1147251 0 0 1677573 1677573
040.264.264.1.dta 920082 920082 0 0 2101043 2101043
040.266.266.1.dta 2170728 2170728 0 0 1981585 1981585
040.267.267.1.dta 1503108 1503108 0 0 1689232 1689232
040.268.268.1.dta 888228 888228 0 0 73867 73867
040.270.270.1.dta 899640 899640 0 0 4155301 4155301
040.271.271.1.dta 879282 879282 0 0 187246 187246
040.272.272.2.dta 826559 826559 0 0 111838 111838
040.272.272.3.dta 826559 826559 0 0 111838 111838
040.274.274.1.dta 881669 881669 0 0 1033608 1033608
040.275.275.1.dta 769100 769100 0 0 738836 738836
040.276.276.1.dta 606908 606908 0 0 101474 101474
040.278.278.2.dta 747845 747845 0 0 513016 513016
040.278.278.3.dta 747845 747845 0 0 513016 513016
040.279.279.2.dta 716841 716841 0 0 1036107 1036107
040.279.279.3.dta 716841 716841 0 0 1036107 1036107
040.280.280.2.dta 667895 667895 0 0 1173634 1173634
040.280.280.3.dta 667895 667895 0 0 1173634 1173634
040.282.282.1.dta 844235 844235 0 0 804076 804076
040.283.283.1.dta 687795 687795 0 0 4242635 4242635
040.284.284.2.dta 657544 657544 0 0 95538 95538
040.284.284.3.dta 657544 657544 0 0 95538 95538
040.286.286.1.dta 1013730 1013730 0 0 1510387 1510387
040.287.287.2.dta 953996 953996 0 0 639080 639080
040.287.287.3.dta 953996 953996 0 0 639080 639080
040.288.288.2.dta 944664 944664 0 0 230076 230076
040.288.288.3.dta 944664 944664 0 0 230076 230076
040.290.290.2.dta 633966 633966 0 0 1062986 1062986
040.290.290.3.dta 633966 633966 0 0 1062986 1062986
040.291.291.2.dta 611657 611657 0 0 633039 633039
040.291.291.3.dta 611657 611657 0 0 633039 633039
040.292.292.1.dta 562010 562010 0 0 895697 895697
040.294.294.1.dta 724683 724683 0 0 2415854 2415854
040.295.295.2.dta 715332 715332 0 0 1100637 1100637
040.295.295.3.dta 715332 715332 0 0 1100637 1100637
